Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,67.0,69.5,64.1,68.55,68.55,278211669
2019-09-12T00:00,71.8,72.2,67.15,67.95,67.95,221834716
2019-09-11T00:00,66.0,75.45,65.0,71.6,71.6,332938591
2019-09-09T00:00,60.1,64.1,59.85,63.1,63.1,150897861
2019-09-06T00:00,61.3,62.15,59.6,60.4,60.4,130716447
2019-09-05T00:00,59.7,62.35,58.85,61.95,61.95,177919556
2019-09-04T00:00,58.35,60.3,57.25,59.45,59.45,143742201
2019-09-03T00:00,59.25,62.3,57.65,58.75,58.75,196326964
2019-08-30T00:00,58.25,60.95,55.5,59.95,59.95,226395035
2019-08-29T00:00,59.25,59.3,55.0,57.4,57.4,188754023
2019-08-28T00:00,64.5,65.15,58.05,59.5,59.5,223167624
2019-08-27T00:00,62.9,65.35,62.5,64.5,64.5,190996863
2019-08-26T00:00,62.95,64.7,57.35,62.9,62.9,277799302
2019-08-23T00:00,56.4,61.25,54.75,59.25,59.25,309367850
2019-08-22T00:00,66.4,67.7,53.2,56.3,56.3,314692568
2019-08-21T00:00,71.2,71.5,64.55,65.4,65.4,228212985
2019-08-20T00:00,76.95,76.95,70.5,71.2,71.2,167966737
2019-08-19T00:00,79.45,80.75,76.0,76.65,76.65,127652182
2019-08-16T00:00,79.0,81.45,76.85,79.45,79.45,143478784
2019-08-14T00:00,74.9,77.9,70.55,76.55,76.55,173114134
2019-08-13T00:00,84.0,84.2,72.85,73.6,73.6,206712601
2019-08-09T00:00,91.8,92.45,81.15,82.15,82.15,187030766
2019-08-08T00:00,89.25,89.9,84.8,89.2,89.2,122325009
2019-08-07T00:00,86.5,92.0,86.1,86.85,86.85,171429816
2019-08-06T00:00,80.9,86.65,79.7,85.35,85.35,134819814
2019-08-05T00:00,88.0,88.0,79.5,81.1,81.1,136352605
2019-08-02T00:00,87.8,90.9,86.8,88.3,88.3,106397716
2019-08-01T00:00,88.95,91.3,85.75,88.4,88.4,111842102
2019-07-31T00:00,86.0,92.35,84.75,91.2,91.2,133054947
2019-07-30T00:00,95.0,96.3,81.15,86.05,86.05,120979045
2019-07-29T00:00,95.7,98.7,91.35,94.75,94.75,138287221
2019-07-26T00:00,88.75,96.9,87.1,96.05,96.05,186097455
2019-07-25T00:00,88.4,90.4,85.85,87.65,87.65,113015178
2019-07-24T00:00,91.5,93.65,88.15,89.15,89.15,104007122
2019-07-23T00:00,89.0,93.9,87.1,90.65,90.65,164964349
2019-07-22T00:00,83.3,92.5,81.7,91.15,91.15,208758719
2019-07-19T00:00,86.0,86.9,82.6,83.25,83.25,145863654
2019-07-18T00:00,88.6,90.25,79.15,85.8,85.8,229258092
2019-07-17T00:00,108.5,108.5,97.55,98.4,98.4,238375009
2019-07-16T00:00,94.0,106.5,92.25,103.85,103.85,228682135
2019-07-15T00:00,95.0,99.3,92.55,93.2,93.2,126736904
2019-07-12T00:00,93.25,94.85,91.65,94.2,94.2,60702978
2019-07-11T00:00,94.0,95.0,90.7,92.45,92.45,73432269
2019-07-10T00:00,92.15,94.0,91.5,93.0,93.0,75776545
2019-07-09T00:00,95.0,97.0,90.3,91.35,91.35,137863884
2019-07-08T00:00,87.0,94.6,85.65,93.15,93.15,197675527
2019-07-05T00:00,95.0,96.85,87.4,88.15,88.15,220546903
2019-07-04T00:00,101.0,102.15,95.2,96.25,96.25,108105010
2019-07-03T00:00,100.75,103.8,98.85,99.75,99.75,112667717
2019-07-02T00:00,108.05,108.05,99.8,100.8,100.8,149669579
2019-07-01T00:00,109.5,110.5,107.65,109.15,109.15,42545442
2019-06-28T00:00,112.5,113.0,107.5,108.75,108.75,68854685
2019-06-27T00:00,113.05,114.5,111.8,112.4,112.4,51280994
2019-06-26T00:00,109.0,114.65,108.4,113.05,113.05,72879532
2019-06-25T00:00,111.0,112.5,109.1,110.05,110.05,56892279
2019-06-24T00:00,112.0,114.0,108.85,111.95,111.95,79695315
2019-06-21T00:00,114.55,114.8,108.25,109.6,109.6,106421502
2019-06-20T00:00,102.0,115.9,98.7,114.55,114.55,159393077
2019-06-19T00:00,109.0,111.45,101.3,103.2,103.2,126458237
2019-06-18T00:00,116.0,117.5,107.1,109.3,109.3,116604528
2019-06-17T00:00,118.0,118.35,113.75,116.15,116.15,84433323
2019-06-14T00:00,118.5,121.0,112.85,115.05,115.05,155169990
2019-06-13T00:00,130.8,130.8,116.0,117.1,117.1,197154833
2019-06-12T00:00,136.0,137.8,133.6,134.75,134.75,56236715
2019-06-11T00:00,135.0,143.5,133.75,139.55,139.55,80946657
2019-06-10T00:00,141.9,145.0,132.55,135.9,135.9,86398912
2019-06-07T00:00,143.4,145.45,136.15,139.9,139.9,66206668
2019-06-06T00:00,148.45,151.2,142.3,143.4,143.4,65169529
