Date,Open,High,Low,Close,AdjustedClose,Volume
2019-09-13T00:00,0.0,411.45,393.35,413.4,413.4,14064083
2019-09-12T00:00,399.65,407.2,399.65,402.7,402.7,19576548
2019-09-11T00:00,394.9,399.0,393.35,394.6,394.6,17463978
2019-09-09T00:00,393.0,400.4,389.1,395.45,395.45,18651819
2019-09-06T00:00,391.0,394.5,389.2,391.35,391.35,17564286
2019-09-05T00:00,389.55,394.0,388.0,389.0,389.0,25022673
2019-09-04T00:00,391.0,399.65,389.9,397.5,397.5,18614965
2019-09-03T00:00,405.05,406.4,391.05,392.15,392.15,20194305
2019-08-30T00:00,406.5,412.85,402.65,409.65,409.65,18314194
2019-08-29T00:00,409.9,410.8,399.35,404.4,404.4,30331105
2019-08-28T00:00,418.0,418.25,409.7,412.95,412.95,12154347
2019-08-27T00:00,412.8,420.5,411.25,418.6,418.6,28793372
2019-08-26T00:00,407.0,414.0,392.85,411.65,411.65,26701988
2019-08-23T00:00,389.0,403.5,385.8,395.4,395.4,26883695
2019-08-22T00:00,411.0,412.5,398.0,399.1,399.1,18182520
2019-08-21T00:00,416.0,418.7,410.55,412.05,412.05,12868183
2019-08-20T00:00,420.8,423.2,412.5,416.9,416.9,16181488
2019-08-19T00:00,420.1,427.9,420.1,423.4,423.4,12304262
2019-08-16T00:00,417.8,420.0,412.1,418.95,418.95,15154141
2019-08-14T00:00,411.9,422.2,411.25,417.3,417.3,13307755
2019-08-13T00:00,417.0,421.7,409.15,410.25,410.25,18389104
2019-08-09T00:00,416.5,422.4,414.5,420.15,420.15,17664017
2019-08-08T00:00,411.0,416.6,404.15,414.4,414.4,19046657
2019-08-07T00:00,409.3,415.0,406.3,408.4,408.4,20977349
2019-08-06T00:00,401.0,411.5,400.9,410.25,410.25,30665326
2019-08-05T00:00,403.65,406.65,395.75,402.65,402.65,25033370
2019-08-02T00:00,413.9,417.85,405.5,410.6,410.6,30939803
2019-08-01T00:00,423.25,426.35,410.65,417.05,417.05,18269866
2019-07-31T00:00,423.9,430.2,421.2,424.6,424.6,22329888
2019-07-30T00:00,433.0,438.7,422.75,425.35,425.35,23617273
2019-07-29T00:00,433.0,435.35,425.3,429.35,429.35,46754670
2019-07-26T00:00,410.25,419.4,408.55,415.75,415.75,17493739
2019-07-25T00:00,409.2,413.85,405.3,409.0,409.0,16852479
2019-07-24T00:00,411.85,411.85,401.7,408.5,408.5,16505930
2019-07-23T00:00,412.8,416.0,409.75,411.95,411.95,14207080
2019-07-22T00:00,409.75,412.95,404.25,411.5,410.5,17937246
2019-07-19T00:00,419.9,420.35,408.5,410.3,408.3053,12260757
2019-07-18T00:00,425.0,425.5,417.5,418.65,416.6147,10651654
2019-07-17T00:00,424.6,427.05,422.5,424.7,422.6353,10961022
2019-07-16T00:00,421.55,430.55,421.55,424.6,422.5358,12149205
2019-07-15T00:00,428.4,428.4,421.6,422.3,420.247,7825336
2019-07-12T00:00,427.3,433.0,424.0,427.05,424.9739,8824728
2019-07-11T00:00,432.65,432.9,424.8,426.55,424.4763,16535185
2019-07-10T00:00,430.0,432.7,427.2,430.9,428.8052,16494282
2019-07-09T00:00,426.0,429.8,424.65,428.5,426.4169,11679067
2019-07-08T00:00,434.0,435.35,422.0,425.9,423.8295,12184946
2019-07-05T00:00,436.45,439.9,433.2,436.35,434.2287,12154330
2019-07-04T00:00,438.0,441.4,434.1,436.2,434.0795,11810688
2019-07-03T00:00,437.9,440.0,434.2,435.95,433.8307,10415896
2019-07-02T00:00,439.0,440.0,433.6,436.75,434.6268,7787303
2019-07-01T00:00,439.5,442.0,437.7,439.0,436.8658,6871979
2019-06-28T00:00,439.5,440.5,433.6,437.1,434.9751,13459208
2019-06-27T00:00,438.0,443.9,437.6,440.95,438.8063,18787957
2019-06-26T00:00,432.5,440.0,432.5,438.65,436.5175,12261068
2019-06-25T00:00,427.9,434.8,424.6,433.65,431.5418,12964387
2019-06-24T00:00,431.45,433.8,428.2,429.45,427.3623,8545999
2019-06-21T00:00,434.2,435.2,428.85,430.8,428.7057,13909654
2019-06-20T00:00,419.75,434.65,419.0,433.4,431.293,24315929
2019-06-19T00:00,423.75,426.0,417.35,419.8,417.7591,17010384
2019-06-18T00:00,415.45,426.05,415.1,422.15,420.0977,17761348
2019-06-17T00:00,418.95,419.7,413.15,414.2,412.1864,9539802
2019-06-14T00:00,420.3,422.0,416.1,417.75,415.7191,8601256
2019-06-13T00:00,416.7,422.3,415.3,419.6,417.5601,12164077
2019-06-12T00:00,422.0,422.0,414.8,418.0,415.9679,11136959
2019-06-11T00:00,418.45,423.7,413.05,421.35,419.3016,10939138
2019-06-10T00:00,418.9,422.75,413.0,416.1,414.0771,13074522
2019-06-07T00:00,413.5,418.95,407.9,416.6,414.5747,14107696
2019-06-06T00:00,417.4,417.85,410.35,411.55,409.5493,17762399
2019-06-04T00:00,417.7,422.75,417.5,419.1,417.0626,14514451
2019-06-03T00:00,426.0,426.4,419.6,422.9,420.8441,17125380
2019-05-31T00:00,427.0,430.2,414.3,423.7,421.6402,24644955
2019-05-30T00:00,420.85,428.0,419.6,426.2,424.1281,18281037
2019-05-29T00:00,428.6,430.45,422.1,423.3,421.2421,22132254
2019-05-28T00:00,435.05,439.2,428.1,434.3,432.1887,23389724
2019-05-27T00:00,432.25,438.8,429.65,435.5,433.3828,23397222
2019-05-24T00:00,415.5,433.55,412.65,431.75,429.6511,37708344
2019-05-23T00:00,414.0,427.95,407.4,410.85,408.8527,43279956
2019-05-22T00:00,403.0,408.4,401.55,405.35,403.3794,15370847
2019-05-21T00:00,408.6,410.8,397.6,400.15,398.2047,18286421
2019-05-20T00:00,405.25,414.0,402.0,407.7,405.718,33350816
2019-05-17T00:00,381.2,392.0,380.75,389.7,387.8055,19096980
2019-05-16T00:00,379.0,385.0,377.55,382.5,380.6405,13430281
2019-05-15T00:00,382.35,384.5,375.8,377.05,375.217,16183425
2019-05-14T00:00,378.1,386.75,376.5,380.4,378.5507,21481226
2019-05-13T00:00,385.0,385.75,375.25,376.3,374.4706,13828080
2019-05-10T00:00,383.5,389.2,382.25,385.1,383.2279,18361701
2019-05-09T00:00,380.95,385.7,377.55,381.4,379.5458,19739885
2019-05-08T00:00,386.3,390.0,380.1,382.2,380.3419,22509400
2019-05-07T00:00,398.0,407.35,384.3,386.5,384.6211,41517845
2019-05-06T00:00,396.5,404.9,394.65,401.3,399.3491,20751521
2019-05-03T00:00,397.15,405.2,394.7,401.8,399.8466,24431248
2019-05-02T00:00,403.7,405.0,394.4,395.55,393.627,16572948
2019-04-30T00:00,407.75,409.8,403.3,407.5,405.519,19375553
2019-04-26T00:00,400.0,408.0,394.25,407.2,405.2204,14286163
2019-04-25T00:00,400.9,402.4,394.3,395.4,393.4778,16524091
2019-04-24T00:00,397.1,402.65,393.45,401.1,399.1501,11397163
2019-04-23T00:00,396.1,399.95,393.6,396.5,394.5724,10203957
2019-04-22T00:00,404.25,404.6,393.7,394.5,392.5822,10493872
2019-04-18T00:00,411.0,411.0,402.6,404.4,402.434,18660434
2019-04-16T00:00,397.5,408.4,397.5,407.0,405.0214,24487788
